景点名称,美食评分,人均消费,地址,推荐菜,评价
波尔菲特酒店,3.9,133,武侯区 红牌楼佳灵路75号,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",担担面，面条筋道，酱香浓郁的担担面酱让整碗面条充满四川特色风味。
DQ(盐市店),4.8,26,顺城大街8号新世界百货B1F,"红糖滑冰粉, 烤排骨, 辣炒掌中宝, 何师中翅, 锡纸烤脑花",酸菜鱼，选用上好的草鱼片，鱼肉细嫩滑口，酸菜的香味融入汤底，酸爽不腻，完美提鲜。
廖记棒棒鸡(万景峰店),4.3,27,四川省成都市郫都区尚华路22号附1号(怡景酒店旁),"现炸酥肉, 自制鲜虾滑, 嫩牛肉, 黄喉, 鸭血",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
漫厨·雍渡码头,3.5,83,金牛区安靖镇雍渡村八组吊桥323号（西华大道与金芙蓉大道交接处附近）,"风味三角峰	鳝鱼	土豆烧野鸭	水煮土鳝鱼	土鳝鱼	鱼香胡豆	野鸭子",炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
百花世家酒店,4.5,150,青羊区 琴台路3号,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",路上遇见一种非常漂亮的开着小黄花的树，司机师傅说这个树他也不知道叫什么名字，今年刚移栽过来的
虾佬圣汤火锅(一品天下店),4.5,173,金牛区一品天下大街131号4楼,"双拼刺身	不要点花蟹	扇贝	带子	墨鱼滑	卤排骨	生蚝	海参	海星汤锅	凉拌木耳	圣汤	港式虾滑	烤生蚝	江团	鲜鲍鱼	山药	茼蒿	基围虾粥	圣子皇	虾滑	基围虾	椒香鸡	鲍鱼	花蟹",没想到生意“居然这么好”，来晚了“差点没位子”。“浓汁圣汤”锅底果然“鲜香浓郁”，值得“多喝几碗”。涮菜自然要点鲍鱼，…
张老山火锅酒楼,3.9,42,武侯区 人民南路四段10号,"红酒牛肉	鹅肠",香菇鸡汤，鸡汤鲜美，香菇的独特香味融入汤中，是一碗暖心的滋补好汤。
飘香钵钵鸡,4.2,35,草堂北支路113号,"大鸡汤饭	青笋尖	麻辣鲜牛肉	鸭肠	鸡肝	特色小吃	土豆肉丝炒饭	鸡爪爪	郡肝	藕片	钵钵鸡",钵钵鸡的话比较推荐他家的无骨鸡爪，省去了吐骨头的设定真的是让人欲罢不能，西兰花之类的素菜也很不...
竹篓香冒菜世家(川大南门店),4.4,37,郭家桥北街4号之附1-附3号(近四川大学南门),"苦瓜炒蛋, 炒苦瓜, 香煎鸡排, 家常炒豆角, 粉蒸排骨",川大附近的人气冒菜馆，以够辣够味而闻名。
清粥小菜(玉林路店),4,44,武侯区玉林西路96号,"农家拌土鸡爪	皮蛋瘦肉粥	小米南瓜粥	脆皮牛肉	生煎包	阿良抓钱手	盐巴回锅肉	宇儿鸡	米饭	卤阿卤	虾饺	青豆茄子	沸腾鱼	芋儿鸡	白菜粉丝	蒸凤爪	菜心炒牛肉	热拌鲫鱼	杏鲍菇炒牛肉",火锅、串串、麻辣兔头、麻婆豆腐等等……。还是记得《成都》里的小酒吧吗
红高粱(锦绣河山店),3.7,172,人民南路四段58号中华商业广场内,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",性价比高，海鲜新鲜又便宜，服务热情周到。
肖肖酸萝卜鱼火锅(总店),3.7,84,高攀路26号附12号,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",王思聪同款酸萝卜鱼火锅
六和豆浆(玉林店),4.3,16,四川省成都市武侯区一环路南三段25号,"英雄杯黑啤, 烤虾, 水果粥, 金针菇, 虾饺",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
一把骨(武侯祠直营店),4.2,66,一环路南四段26号附12号(近高升桥),"苦瓜炒蛋, 炒苦瓜, 香煎鸡排, 家常炒豆角, 粉蒸排骨",好吃、实惠，番茄骨头汤超级赞！
渔悦健康奢侈品会馆,4.5,83,武侯区 万寿桥路66号。,"卡布奇诺脆皮, 卡布奇黑曲奇, 冰淇淋, 薯条, 猪颈肉",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
紫燕百味鸡(东城店),4.5,26,四川省成都市青羊区东城根下街75号东城根小学正对面,"红糖滑冰粉, 烤排骨, 辣炒掌中宝, 何师中翅, 锡纸烤脑花",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
许家菜(望江店),4.3,503,望江路1号格林威治广场8幢附1号(近望江公园),"凉拌木耳	大黄鱼	菠萝包	麻酱凤尾	石锅老豆腐	豆豉蒸黄沙	葛仙米辽参	搓椒圣瓜	贡茶拌鸡杂	蜂蜜红枣汁	芽豆炒木耳	西班牙火腿	野生中华鳖	开边虾	红焖中华鳖	豆腐珍珠丸子	天府熊猫	窗含西岭千秋雪	酱焖牛小排	清汤葛仙米	传统冒什锦	许家脆皮鸡	鹅掌粉丝煲	脆皮咸鸡	宫保水晶虾	松茸菊花豆腐汤	樱桃鹅肝	樱桃鹅肝拼脆皮鸡	炭烤腊鱼尾	花椒西冷	许家口味脆肉	许家有春意	捞汁海葡萄	黑皮鸡乳瓜花	黑蒜花椒火局肉眼",生态食材打造百菜百味，荣获众多美食奖项
凤来栖·净庭院火锅(欧尚店),4,138,怡心街道华阳华府大道二段122号,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",火锅和点菜两者兼具，特别推荐他们家的鲜牛肉和老肉片，辣汤涮出的口感绝佳！
井里之外,4.3,63,三圣乡东篱菊园驸江路联合三组33号(楼外楼对面),"红糖糍粑, 鳝鱼, 茼蒿菜, 川西五花肉, 腰片",黄焖鸡米饭，鸡肉鲜嫩，酱汁浓厚，米饭吸满了汤汁，每一口都是满足的体验。
胖姐海鲜烧烤大排档(青石桥中街店),4.1,99,四川省成都市锦江区青石桥中街8号格莱美空间1幢50号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",店铺门口就摆放了很多的新鲜海鲜，现点现烤，烤的扇贝，还有油炸小黄油都很不错，就是价格比较贵，人...
勾魂面,3.5,10,武侯区武侯祠大街,"凉糕	8888888	勾魂面	青椒牛肉面",清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
蚂蚁渣,4,94,武侯区 广福桥正街28号附6号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",红烧牛肉面，浓郁的牛肉汤底与手工拉制的面条完美结合，牛肉软烂入味，每一口都是暖心的满足。
印记土味馆,4.2,118,青羊区 东坡北三路,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
味千拉面(成都苏坡东路店),3.5,39,苏坡东路12号附301-302、402号西单商场B1层,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
南湖禧宴,5,96,华阳南湖公园,"脑花, 毛肚, 鹅肠, 肥牛, 小米辣干碟",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
小草屋(永平小区店),3.5,135,成华区永平小区344号,"折耳根, 香菜脆皮泡芙, 卡布奇诺泡芙, 芒果泡芙, 香草脆皮",据说是“下岗工人开的”店，风格“如其名”，走“朴素路线”。蛋糕、点心“品种比较多”，样子“普通”，味道“还可以”，价格…
大蓉和酒家(双楠店),4.2,108,四川省成都市武侯区栖霞路46号附40号,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",鲜美剁椒鱼头，满足你的味蕾；丰盛美味菜品，物超所值。
愚头记鱼火锅·匠心22年(正府街店),4,108,正府街113号,"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",宫保鸡丁，鸡肉鲜嫩多汁，花生酥脆可口，搭配特制的酸甜酱汁，让人吃完还想再来一份。
重庆打渔郎火锅(营门口店),4.2,83,金牛区 二环西三段119号,"核桃花生奶, 功夫牛蛙, 滋味排骨, 培根薯条, 英雄杯黄啤",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
西关二少甜食(科大店),4,97,建设中路15号附32号(电子科技大学南院女生公寓门旁),"辣椒炒肉, 三杯鸡, 蜜汁排骨, 酸菜鱼, 豆皮",鱼香肉丝，细嫩的肉丝与酸甜口的酱汁完美融合，搭配脆嫩的青椒和胡萝卜丝，清爽又解腻。
蜀九香火锅酒楼(新会展店),4.5,126,武侯区高新区新会展中心世纪城路166号西蜀廊桥3栋(近洲际大酒店),"九香牛肉	九香脆肚	青笋片	牛脊髓	千层肚	黄喉	君花	香菜丸子	江团鱼	鹅肠	肥牛	鳝鱼	山药	藕片	鲜鱼豆腐	腰片	青笋头	豆皮	鱼豆腐	九香虾丸	牛舌	小汤圆	黄辣丁	牛肚",干煸四季豆，四季豆煸炒至微焦，外皮酥脆，内里软嫩，搭配肉末一起炒，香味扑鼻。
宾go101牛排(万达广场锦华路店),4.2,72,四川省成都市锦江区锦华路一段68号万达广场F3,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",炭火烤鸡翅，鸡翅经过炭火慢烤，外皮酥脆，内里多汁，咬下去汁水四溢，是烧烤中的经典。
沈妈砂锅(光华村店),4.5,29,光华村街58号附12号,"排骨, 鱼皮, 酥肉, 酸梅汤, 肚子鸡",旺火烹调，从眼前到舌根的震撼
万春老鼎卤菜(天乡后街店),3.6,73,近郊 温江区万春镇天乡后街,"何师烤脑花, 何师烤肉, 藤椒味钵钵鸡, 烤扇贝, 烤茄子",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
GANSO元祖食品(新鸿路店),5,132,新鸿路260号,"干煸鳝糊, 鱼香茄子, 酸辣汤, 粉蒸肉, 蚂蚁上树",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
凯宾斯基饭店蜀秀厅,4,84,无,"粉丝煲, 鸡蛋羹, 牛肉炒面, 糖醋小排, 韭菜鸡蛋饼",香辣螺丝，螺丝肉经过长时间的炖煮，完全吸收了麻辣汤汁，鲜美的滋味让人一颗接一颗。
吟味轩,4,55,四川省成都市武侯区龙安街5号,"千层肚, 鸭肠, 肥肠, 鲜毛肚, 嫩牛肉",粉蒸肉，五花肉裹满蒸粉后蒸制而成，软糯不腻，入口即化，米粉的香气完美渗入肉中。
美珍香(伊势丹店),3.5,43,锦江区大科甲巷8号利都广场伊势丹B1楼(近春熙路),"五花肉	脆鱼片	肉脯	经典松软肉干	辣经典培根	肉干",蒸水蛋，鸡蛋蒸得嫩滑如布丁，清香的蒸蛋搭配几滴酱油，简单却让人百吃不厌。
世纪城假日酒店(思飞咖啡厅),4,115,高新区世纪城路208号世纪城假日西楼1楼,"清炒虾仁, 酱爆鸡丁, 西红柿鸡蛋汤, 凉拌黄瓜, 烤鸭",干锅牛蛙，牛蛙肉质滑嫩，干锅香料的浓郁香味充分渗透，香辣刺激，让人欲罢不能。
王鸡婆,4,33,青羊区 西二道街,"拍黄瓜, 炖鸡, 红烧排骨, 干煸四季豆, 蒸蛋",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
奥汀花园酒店,4.7,131,青羊区 清江东路3号,牛肉面,炸酱面，面条筋道十足，裹满浓郁的肉末酱，入口咸香适中，搭配清脆的小菜，口感更加丰富。
阿义海鲜粥(九眼桥店),4.5,75,牛市口街道宏顺路12号(近宏济新路),"虾滑, 手工面, 肥牛, 相间肥牛, 青椒肉丝",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
德斯堡德国餐吧(锦华万达店),4.3,122,锦华路一段68号1栋3楼349、350号,"蒸馒头, 白切鸡, 糖醋鱼, 清蒸带鱼, 干锅牛肉",卤肉饭，卤制得香浓的肉酱淋在白米饭上，酱香四溢，每一口都让人充满满足感。
自力面馆,4.4,5,锦江区 华兴正街77号,"排骨面	素椒杂酱面	脆绍面",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
水一方,4,148,青羊区八宝街1号家乐福1楼,"豆腐汤, 红烧鱼, 炸酱面, 鱼香肉丝, 拔丝地瓜",干锅肥肠，肥肠处理得干净且软糯，搭配红辣椒和洋葱，香味扑鼻，每一口都充满浓郁的锅气。
醉美餐厅,3.8,110,武侯区 上海花园黄金走廊紫杉路5号,"猪颈肉	虾滑	娃娃菜	滑类	手擀面	茼蒿",香辣虾，鲜虾经过高温爆炒，搭配麻辣香料，鲜香麻辣的味道让人忍不住吮指。
川工第一漂,3.5,26,郫县红光镇西华桥头(近西华大学侧门),"一品东坡肉	东坡肘子	豆花	灌汤乌鸡	飘汤	当然是漂汤	蒜泥白肉	砂锅牛肉	泡椒牛柳	蟹黄豆花	香飘飘牛蛙	东坡甜皮鸭	青笋木耳	酸菜鱼	漂汤	松仁玉米	麻辣馋嘴鱼	香煎鱼	飘香鱼	天府鱼头王	土豆烧肥肠	烧菜	灯影脆皮	酥肉",“很有点历史”的店，传说中的“川工第一漂”，“90年代”去川工（现并入西华大学）这里“几乎是必吃的”。现在店面“变漂亮多…
全记广东风味餐厅,4.2,44,武侯区 玉林西路,"水晶叉烧	龟苓膏	烧鹅",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
岷源仔姜王(玉林总店),3.5,92,玉林街道玉林小区玉洁西街4号附5号(圣天露茶楼和玉林生活广场间),"鱼片, 茼蒿, 豌豆尖, 鱿鱼, 牛肉滑",西红柿炖牛腩，牛腩软烂入味，西红柿的酸甜完美融合到汤中，配上一碗米饭，简单又幸福。
巨龙火锅,3.5,139,新津县21街区(近味来饭店),芋笋鸡,炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
华府中餐厅,3.5,65,武侯区世纪城路208号世纪城假日酒店西楼2楼(近成都世纪城新国际会展中心),"凤爪	华府十大名菜	排骨	毛血旺	水煮牛肉	皮蛋瘦肉粥	辣子鸡",糖醋里脊，里脊肉外层裹满酥脆的糖醋浆，甜酸的口感让人食欲大增，是儿童和成年人的共同最爱。
盐味盐帮菜,5,62,青羊区 金阳路57号,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",冷吃兔很入味，里面有橙皮，吃起来辣中还微带有一些的甜味，肉也炒的很干，吃起来很有嚼劲也很香
徐姐金海岸酒楼,4.5,107,四川省成都市金牛区长青路68、70、72号1层,"番茄牛腩, 煎鸡排, 鲍鱼粥, 海鲜面, 荠菜饺子",炸酱凉面，凉面筋道爽滑，搭配香浓的炸酱酱料，是夏日必备的凉拌菜。
CoCo都可(玉林店),4.4,11,玉林北路16号（近玉林西路）,"红糖滑冰粉, 烤排骨, 辣炒掌中宝, 何师中翅, 锡纸烤脑花",红糖锅盔，酥脆的外皮包裹着甜香的红糖内馅，入口即化的感觉让人回味无穷，传统小吃的新体验。
川江滋香老火锅(星科店),4.5,69,星科路6号,"芥兰牛肉, 蒜泥白肉, 红油抄手, 烤羊排, 香酥鸭",麻辣烤鱼，鱼肉鲜嫩，裹满了浓郁的辣椒和花椒香味，每一口都能感受到层层叠加的麻辣冲击，直击味蕾。
三昇香汤锅(青华路店),4.3,77,青华路10号附14号,"香辣土豆丝, 红烧鱼头, 家常菜心, 炸酱面, 辣椒炒肉",特别安静，芝麻酱很赞哦！
荣胜和天鹅火锅(红光店),4.5,49,郫县红光镇名城左岸旁,"土豆粉	腰片	甩饼	麻圆	蛋炒饭	猪屁股菜	鹅肠	莴笋片	肥牛	虾饺",藤椒鱼片，鱼片鲜嫩滑口，藤椒的麻香味让整道菜增添了别样的层次感，搭配青花椒和特制汤底，清新爽口。
铜锅居·品质湘菜(武侯祠店),4.9,140,武侯祠大街19号春江花月项目2栋,"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",清新雅致的特色餐吧，匠心打造精致湘菜
巴夯兔,4.4,130,近郊 郫县,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",水晶饺子，外皮薄透如水晶，内馅鲜嫩多汁，吃起来Q弹爽滑，是宴席上的美味佳肴。
都可茶饮(郭家桥北街店),5,6,武侯区 郭家桥北街5号附48号,"挂面鸭肠, 草原极品毛肚, 精品千层肚, 功夫土豆, 付氏冰粉",晚上的时候生意很好，即使服务员们动作都很快，但是还是有时取饮料要等很久，红豆巧克力很好喝
品德啤酒音乐餐吧(宽窄巷子店),4.5,94,青羊区窄巷子13号(近宽窄巷子历史文化保护区),"炒米粉, 肉末茄子, 冬瓜汤, 酸辣粉, 酱油鸡",环境好，服装帅，披萨棒，酒多种。
首座万丽酒店BLD咖啡厅,4.5,150,武侯区人民南路四段48号富豪首座酒店2楼(近桐梓林南路),"莫凡彼	冰激凌	沙拉	拿破伦酥	羊排	八爪鱼	海鲜	煎扇贝	拿破仑	三文鱼	焦糖布丁	菠萝	甜点	咖喱羊肉	排骨	甜品	冰淇淋	小糕点	米粉	现烤的	朗姆酒拿破仑	鲍鱼	烤羊腿	东南亚菜",蛋炒饭，每一粒米饭都被蛋液包裹，粒粒分明，搭配火腿丁和青豆，让简单的家常菜变得无比美味。
重庆两路口火锅(紫荆店),4.2,91,紫竹北街2号,"蒜薹炒肉, 蚂蚁上树, 家常豆腐, 京酱肉丝, 香酥鸭",正宗北方口味，热闹的火锅体验！
迎宾一号,4.8,140,迎宾大道中段金科东路38号(茶店子公交站),"炖羊肉, 黑椒牛肉面, 手撕鸡, 番茄炒蛋, 红烧豆腐",红烧茄子，茄子吸满了浓郁的酱汁，软嫩多汁，入口即化，是家常菜的代表作。
老友记咖啡馆,3.5,138,金牛区星汉路33号附13号(近交大智能三期),冰激凌,清蒸鲈鱼，鱼肉白嫩鲜甜，搭配姜丝和蒸鱼豉油，保留了鱼的原汁原味，是宴席上必点的健康美味。
麦塔立薄饼馆,4.8,44,青羊区 奎星楼街29号蜀亭酒店1楼,"爆米花, 丸子, 黄喉和猪天堂, 鸡中翅, 牛肉滑虾滑",水煮鱼，鲜嫩的鱼片漂浮在麻辣红油汤中，豆芽和金针菇吸满汤汁，舌尖的麻辣爽感让人停不下来。
跳跳鱼酒店,3.5,223,武侯区火车南站西路25号附27号(机场路口),"野生江团	黄辣丁",蒜蓉粉丝扇贝，新鲜的扇贝肉质滑嫩，蒜蓉和粉丝充分吸收了海鲜的鲜味，是无法拒绝的海鲜盛宴。
老子(二号桥店),4.3,116,四川省成都市锦江区三槐树路1号-附6,"清蒸鲈鱼, 烧白菜, 酸辣土豆丝, 糖醋排骨, 青椒牛柳",口味地道，糯米排骨和酸汤肥牛好吃！
仁宇品菜馆,4,312,人民南路四段30号（倪家桥地铁口B出口）,"卡普奇诺泡芙, 卡布基诺泡芙, 抹茶黑曲奇, 板栗泡芙, 冰激凌泡芙",菜品精致，服务好！装修用心，龙虾刺身赞！
